name,python_name,title,description,topic,object_type,dimensions,source,license,file
meniscal_list,meniscal_repairs,Meniscal Repairs Load at Failure,"Failure loads for three meniscal repair techniques.",biomechanics,list,"3 groups; 6 observations each",IIS 1.1,GPL-2,meniscal_list.rda
motion_sense_list,motion_sense,Motion Sense Dataset,"Smartphone acceleration and pitch measurements from human activities.",human_motion,list,"2 components; 200 x 96 each",ReMFPCA 2.0.0,GPL-2-or-later,motion_sense_list.rda
motionpaths_list,motion_paths,Simulated Motion Paths,"Simulated trajectories and their group labels.",human_motion,list,"40 x 10 trajectories; 40 labels",RRPP 2.1.2,GPL-3-or-later,motionpaths_list.rda
osteoarthritis_df,osteoarthritis,Osteoarthritis Initiative Participants,"Demographic exposure and knee-osteoarthritis data for OAI participants.",clinical,data.frame,"2585 x 7",MatchThem 1.2.1,GPL-2-or-later,osteoarthritis_df.rda
rheuma_df,rheumatoid_arthritis,Acute Rheumatoid Arthritis,"Treatment and improvement counts for patients with acute rheumatoid arthritis.",clinical,data.frame,"10 x 3",Fahrmeir 2016.5.31,GPL-2-or-later,rheuma_df.rda
run_biomech_tbl_df,running_biomechanics,Running Injury Clinic Kinematic Dataset,"Participant metadata and measurements from running biomechanics trials.",biomechanics,tibble,"1832 x 26",Figshare Running Injury Clinic Kinematic Dataset,CC-BY-4.0,run_biomech_tbl_df.rda
surgerydat_df,surgery_outcomes,Simulated Surgery Procedures Data,"Simulated survival and risk-adjustment data from multiple hospitals.",clinical,data.frame,"32529 x 9",success 1.1.1,GPL-3-or-later,surgerydat_df.rda
vs_peds_tbl_df,pediatric_vital_signs,Vital Signs Dataset - Pediatrics,"Pediatric clinical vital-sign observations in an SDTM-style structure.",clinical,tibble,"164 x 26",pharmaversesdtm 1.3.1,Apache-2.0,vs_peds_tbl_df.rda
walk_biomech_tbl_df,walking_biomechanics,Running Injury Clinic Walking Dataset,"Participant metadata and measurements from walking biomechanics trials.",biomechanics,tibble,"2088 x 26",Figshare Running Injury Clinic Kinematic Dataset,CC-BY-4.0,walk_biomech_tbl_df.rda
walking_df,walking,Walking Data,"Walking measurements with participant characteristics and missing values.",gait,data.frame,"890 x 5",mice 3.18.0,GPL-2-or-later,walking_df.rda
z_labels_monitoring_df,activity_labels,Activity Labels for Human Activity Monitoring,"Activity labels and start and end indices for accelerometer monitoring.",accelerometry,data.frame,"6 x 3",TrendLSW 1.0.2,GPL-3-or-later,z_labels_monitoring_df.rda
